"","chr_1","chr_2"
"886","a","A"
"887","a","A"
"888","a","A"
"889","A","A"
"890","A","a"
"891","A","A"
"892","A","A"
"893","A","A"
"894","A","A"
"895","A","a"
"896","a","A"
"897","A","a"
"898","A","a"
"899","a","A"
"900","A","A"
"901","A","a"
"902","A","a"
"903","A","A"
"904","a","A"
"905","A","a"
"906","A","A"
"907","A","A"
"908","A","A"
"909","A","a"
"910","a","a"
"911","a","A"
"912","a","A"
"913","A","a"
"914","A","A"
"915","A","a"
"916","A","A"
"917","A","A"
"918","A","A"
"919","a","A"
"920","a","A"
"921","a","A"
"922","A","A"
"923","a","a"
"924","A","A"
"925","a","A"
"926","A","A"
"927","a","a"
"928","a","a"
"929","A","a"
"930","A","A"
"931","A","A"
"932","a","a"
"933","A","A"
"934","A","A"
"935","A","A"
"936","A","A"
"937","a","a"
"938","a","A"
"939","A","A"
"940","a","A"
"941","A","a"
"942","a","A"
"943","A","A"
"944","a","A"
"945","a","A"
"946","A","a"
"947","a","A"
"948","a","A"
"949","A","A"
"950","A","a"
"951","A","A"
"952","A","A"
"953","A","A"
"954","A","A"
"955","A","A"
"956","a","A"
"957","a","A"
"958","A","A"
"959","a","A"
"960","a","a"
"961","A","A"
"962","A","A"
"963","a","A"
"964","a","A"
"965","A","A"
"966","A","A"
"967","a","A"
"968","A","A"
"969","A","A"
"970","a","A"
"971","A","A"
"972","A","A"
"973","A","A"
"974","a","A"
"975","A","A"
"976","A","a"
"977","a","A"
"978","A","a"
"979","a","A"
"980","A","A"
"981","A","A"
"982","A","A"
"983","a","a"
"984","A","A"
"985","A","a"
"986","a","A"
"987","A","A"
"988","a","A"
"989","a","a"
"990","a","A"
"991","A","A"
"992","A","A"
"993","a","A"
"994","a","A"
"995","a","A"
"996","A","A"
"997","a","A"
"998","A","A"
"999","A","A"
"1000","A","A"
